Name,Coefficient,Coefficient_std_error,Coefficient_P_value
Brain_Cortex,3.300076654142684e-09,8.825017351902437e-10,9.220935976291748e-05
Brain_Frontal_Cortex_(BA9),2.103772962231876e-09,8.515554928465444e-10,0.006746102604899567
Brain_Anterior_cingulate_cortex_(BA24),1.5067549589648175e-09,7.71727860589559e-10,0.02544279300334957
Brain_Nucleus_accumbens_(basal_ganglia),1.1372940413325972e-09,9.401973360296022e-10,0.11320981000617752
Brain_Cerebellum,9.261220619050244e-10,9.917163325151235e-10,0.1751886171170865
Brain_Hippocampus,3.3397994433773907e-10,8.155319975569997e-10,0.34107757052096954
Brain_Putamen_(basal_ganglia),3.309544300413459e-10,9.157188322290812e-10,0.3588946556144159
Brain_Cerebellar_Hemisphere,2.625474913607636e-10,8.96021306600494e-10,0.38475542496065623
Brain_Amygdala,1.4394308255475814e-10,7.753792073577251e-10,0.42636268874468614
Brain_Caudate_(basal_ganglia),-1.038498748931413e-10,8.604850581357571e-10,0.5480307587765915
Brain_Spinal_cord_(cervical_c-1),-3.0777965889564355e-10,8.844255205780016e-10,0.6360797289706811
Brain_Hypothalamus,-9.159064250940118e-10,9.021404453219116e-10,0.8450088663340214
Brain_Substantia_nigra,-1.1148492323661446e-09,8.315026372072822e-10,0.9100015401093242
