Name,Coefficient,Coefficient_std_error,Coefficient_P_value
Brain_Frontal_Cortex_(BA9),2.9201774443450994e-09,2.952661898638105e-09,0.16133199945881166
Brain_Anterior_cingulate_cortex_(BA24),4.198156904598735e-09,4.461784776267587e-09,0.17337440059828652
Brain_Putamen_(basal_ganglia),6.087048775248876e-09,6.686688259635409e-09,0.18132599135831512
Brain_Spinal_cord_(cervical_c-1),2.3196528774589516e-09,2.5588235283388942e-09,0.18232742956756892
Brain_Substantia_nigra,2.453587656969405e-09,3.4973721161764228e-09,0.24147936398359365
Brain_Caudate_(basal_ganglia),2.8194779968957562e-09,5.554370341631555e-09,0.30586191842335686
Brain_Cortex,8.457984092461461e-10,1.9415688998603624e-09,0.3315539554204353
Brain_Hippocampus,1.22810097525595e-10,2.2103858489939806e-09,0.47784597434039794
Brain_Cerebellum,-2.2234541921987703e-10,3.693842151918661e-09,0.5239992529035068
Brain_Cerebellar_Hemisphere,-1.9591217772493645e-09,3.1876146710800868e-09,0.7305919727086674
Brain_Nucleus_accumbens_(basal_ganglia),-1.8554919032192225e-09,2.1669700104130306e-09,0.8040732852648107
Brain_Amygdala,-3.178351863245827e-09,2.1058682097599327e-09,0.9343868083498624
Brain_Hypothalamus,-4.186131158484083e-09,2.2637287043821936e-09,0.9677869346208201
