dataframe,v1.0,v1.2
common_snps_plus_present_in_peter_annovar,0.00011456709088990146,0.00013052730298622952
common_snps_plus_absent_from_peter_annovar,0.3161081082883689,0.3324098219551487
martin,0.3150936739744494,0.3315539554204353
martin_restricted_to_peter_snps,9.362489369478542e-05,0.00010739900765410618
peter,9.220935976291748e-05,0.00010624061605844269
