Name,Coefficient,Coefficient_std_error,Coefficient_P_value
Brain_Cortex,3.2908880235152168e-09,9.013257542724316e-10,0.00013052730298622952
Brain_Frontal_Cortex_(BA9),2.1028946641708697e-09,8.577208401276114e-10,0.007108685692947588
Brain_Anterior_cingulate_cortex_(BA24),1.5069302366614007e-09,7.713656315520339e-10,0.025375011510299913
Brain_Nucleus_accumbens_(basal_ganglia),1.145097663192958e-09,9.433718454504047e-10,0.1124053894686266
Brain_Cerebellum,8.803622338441433e-10,9.827164602249967e-10,0.1851676112732633
Brain_Hippocampus,3.3238675105523283e-10,8.354599634388416e-10,0.3453708182920051
Brain_Putamen_(basal_ganglia),3.1346441563384404e-10,9.107551895145591e-10,0.36535517438531634
Brain_Cerebellar_Hemisphere,2.466835671009367e-10,8.945439598168132e-10,0.3913644332196636
Brain_Amygdala,1.381940339303262e-10,7.881297614277266e-10,0.4304045659389809
Brain_Caudate_(basal_ganglia),-9.834102889684194e-11,8.506539315470576e-10,0.5460177502192279
Brain_Spinal_cord_(cervical_c-1),-3.3532952054447913e-10,8.932119104192996e-10,0.6463258940217977
Brain_Hypothalamus,-9.230963414309397e-10,8.981741017520154e-10,0.8479657314106259
Brain_Substantia_nigra,-1.14117896812368e-09,8.305056490830963e-10,0.9152911586132633
