Name,Coefficient,Coefficient_std_error,Coefficient_P_value
Brain_Cortex,3.3081981902544555e-09,8.855809908516122e-10,9.362489369478542e-05
Brain_Frontal_Cortex_(BA9),2.1013481748295915e-09,8.505611412523798e-10,0.006745398259355564
Brain_Anterior_cingulate_cortex_(BA24),1.5129591855787922e-09,7.742032982248471e-10,0.025337937210282446
Brain_Nucleus_accumbens_(basal_ganglia),1.1371322048982146e-09,9.418283629719859e-10,0.11364547648142104
Brain_Cerebellum,9.204088192400568e-10,9.910428198484647e-10,0.1765151368230255
Brain_Hippocampus,3.396272323795361e-10,8.20023627829202e-10,0.33937567768909505
Brain_Putamen_(basal_ganglia),3.325733517885456e-10,9.179212707764529e-10,0.3585596655428134
Brain_Cerebellar_Hemisphere,2.528981769329916e-10,8.977889654081927e-10,0.38909061008594664
Brain_Amygdala,1.4832493581795879e-10,7.775048574885277e-10,0.4243527283997015
Brain_Caudate_(basal_ganglia),-1.076935786890256e-10,8.594786401207455e-10,0.5498573907326997
Brain_Spinal_cord_(cervical_c-1),-3.077926600989698e-10,8.859973462018202e-10,0.6358533887703381
Brain_Hypothalamus,-9.150650347277453e-10,8.949087971242294e-10,0.8467333383863938
Brain_Substantia_nigra,-1.1115888762125055e-09,8.247438215443811e-10,0.9111384759396077
