Name,Coefficient,Coefficient_std_error,Coefficient_P_value
Brain_Frontal_Cortex_(BA9),2.9616451295683714e-09,2.9841190611297353e-09,0.1604844405677524
Brain_Spinal_cord_(cervical_c-1),2.3933026112804394e-09,2.418962257971796e-09,0.16123562229961813
Brain_Anterior_cingulate_cortex_(BA24),4.247956405677704e-09,4.404317889867586e-09,0.1673981206445842
Brain_Putamen_(basal_ganglia),6.1663937539475294e-09,6.881695266936767e-09,0.18511106208039985
Brain_Substantia_nigra,2.5222949446220454e-09,3.4016036089466447e-09,0.22919464304960174
Brain_Caudate_(basal_ganglia),2.8279691196770326e-09,5.520025574327162e-09,0.30421672847176395
Brain_Cortex,9.134986398326876e-10,1.9086499334612243e-09,0.3161081082883689
Brain_Hippocampus,1.5927904896620844e-10,2.2218554318618807e-09,0.4714253400834506
Brain_Cerebellum,-1.271640560342849e-10,3.5541489981219533e-09,0.5142707288809775
Brain_Cerebellar_Hemisphere,-1.9398143640039757e-09,3.14193223466557e-09,0.731513007109244
Brain_Nucleus_accumbens_(basal_ganglia),-1.845257515634441e-09,2.16833169560158e-09,0.802616251343496
Brain_Amygdala,-3.1656498892399085e-09,2.1189953057876285e-09,0.932404228079441
Brain_Hypothalamus,-4.1022528543916694e-09,2.2391893088099316e-09,0.9665262205354636
