analyte,seq_id,uniprot,entrez_gene_symbol,target_full_name,accession
X11150.3,11150-3,P12109,COL6A1,Collagen alpha-1(VI) chain,GCST90421333
X11152.46,11152-46,Q9UKR3,KLK13,Kallikrein-13,GCST90421334
X11154.3,11154-3,Q14494,NFE2L1,Nuclear factor erythroid 2-related factor 1,GCST90421335
X11155.16,11155-16,A8TX70,COL6A5,Collagen alpha-5(VI) chain,GCST90421336
X11158.40,11158-40,Q6ZP65,BICDL1,Bicaudal D-related protein 1,GCST90421337
X11159.14,11159-14,Q969V5,MUL1,Mitochondrial ubiquitin ligase activator of NFKB 1:Cytoplasmic domain,GCST90421338
X11160.56,11160-56,Q9H9V4,RNF122,RING finger protein 122,GCST90421339
X11161.5,11161-5,Q8N0X7,SPART,Spartin,GCST90421340
X11162.37,11162-37,Q9NQ60,EQTN,Equatorin,GCST90421341
X11163.7,11163-7,Q5T6X4,FAM162B,Protein FAM162B,GCST90421342
X11164.7,11164-7,Q9NT68,TENM2,Teneurin-2,GCST90421343
X11167.6,11167-6,Q13613,MTMR1,Myotubularin-related protein 1,GCST90421344
X11168.3,11168-3,Q96KG7,MEGF10,Multiple epidermal growth factor-like domains protein 10,GCST90421345
X11173.29,11173-29,Q7Z6M3,MILR1,Allergin-1,GCST90421346
X11174.8,11174-8,Q9UPZ6,THSD7A,Thrombospondin type-1 domain-containing protein 7A:Thrombospondin type-1 domain 6,GCST90421347
X11175.45,11175-45,Q7L5N7,LPCAT2,Lysophosphatidylcholine acyltransferase 2,GCST90421348
X11177.16,11177-16,P13647,KRT5,"Keratin, type II cytoskeletal 5",GCST90421349
X11178.21,11178-21,Q4LDE5,SVEP1,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1:EGF-like domains 4-6",GCST90421350
X11179.7,11179-7,Q9BXA7,TSSK1B,Testis-specific serine/threonine-protein kinase 1,GCST90421351
X11180.17,11180-17,Q92922,SMARCC1,SWI/SNF complex subunit SMARCC1,GCST90421352
X11184.51,11184-51,P10645,CHGA,Chromogranin-A,GCST90421353
X11185.145,11185-145,P30793,GCH1,GTP cyclohydrolase 1,GCST90421354
X11186.12,11186-12,Q8NDY8,TMEM52,Transmembrane protein 52,GCST90421355
X11187.11,11187-11,Q5QGZ9,CLEC12A,C-type lectin domain family 12 member A,GCST90421356
X11190.129,11190-129,Q96TA2,YME1L1,ATP-dependent zinc metalloprotease YME1L1,GCST90421357
X11192.168,11192-168,Q9GZM7,TINAGL1,Tubulointerstitial nephritis antigen-like,GCST90421358
X11193.27,11193-27,P20823,HNF1A,Hepatocyte nuclear factor 1-alpha,GCST90421359
X11194.6,11194-6,Q9Y3P8,SIT1,Signaling threshold-regulating transmembrane adapter 1,GCST90421360
X11196.31,11196-31,P12111,COL6A3,"Collagen alpha-3(VI) chain:Bovine pancreatic trypsin inhibitor/Kunitz inhibitor domain, isoform 1",GCST90421361
X11198.37,11198-37,Q96BA8,CREB3L1,Cyclic AMP-responsive element-binding protein 3-like protein 1,GCST90421362
X11200.52,11200-52,Q9NPY3,CD93,Complement component C1q receptor,GCST90421363
X11201.19,11201-19,Q9Y606,PUS1,"tRNA pseudouridine synthase A, mitochondrial",GCST90421364
X11202.70,11202-70,Q99593,TBX5,T-box transcription factor TBX5,GCST90421365
X11203.97,11203-97,P30613,PKLR,Pyruvate kinase PKLR,GCST90421366
X11204.80,11204-80,P78310,CXADR,Coxsackievirus and adenovirus receptor,GCST90421367
X11205.10,11205-10,P26010,ITGB7,Integrin beta-7,GCST90421368
X11207.3,11207-3,P21757,MSR1,Macrophage scavenger receptor types I and II:Cytoplasmic domain,GCST90421369
X11208.15,11208-15,Q9UK23,NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,GCST90421370
X11211.7,11211-7,Q15813,TBCE,Tubulin-specific chaperone E,GCST90421371
X11212.7,11212-7,Q8NBS9,TXNDC5,Thioredoxin domain-containing protein 5,GCST90421372
X11214.40,11214-40,Q9UBS3,DNAJB9,DnaJ homolog subfamily B member 9,GCST90421373
X11215.6,11215-6,P55291,CDH15,Cadherin-15:Cytoplasmic domain,GCST90421374
X11217.16,11217-16,Q13363,CTBP1,C-terminal-binding protein 1,GCST90421375
X11218.84,11218-84,P51580,TPMT,Thiopurine S-methyltransferase,GCST90421376
X11219.95,11219-95,Q8TAT2,FGFBP3,Fibroblast growth factor-binding protein 3,GCST90421377
X11220.53,11220-53,Q8TEF2,C10orf105,Uncharacterized protein C10orf105,GCST90421378
X11223.1,11223-1,Q6P9G4,TMEM154,Transmembrane protein 154,GCST90421379
X11226.16,11226-16,Q05086,UBE3A,Ubiquitin-protein ligase E3A,GCST90421380
X11227.31,11227-31,Q9Y4P3,TBL2,Transducin beta-like protein 2,GCST90421381
X11228.37,11228-37,Q7Z5B4,RIC3,Protein RIC-3,GCST90421382
X11229.16,11229-16,O75460,ERN1,Serine/threonine-protein kinase/endoribonuclease IRE1,GCST90421383
X11231.12,11231-12,Q6P4F2,FDX2,"Adrenodoxin-like protein, mitochondrial",GCST90421384
X11232.46,11232-46,P20061,TCN1,Transcobalamin-1,GCST90421385
X11237.49,11237-49,Q15113,PCOLCE,Procollagen C-endopeptidase enhancer 1,GCST90421386
X11239.49,11239-49,Q8IU80,TMPRSS6,Transmembrane protease serine 6,GCST90421387
X11241.8,11241-8,P04424,ASL,Argininosuccinate lyase,GCST90421388
X11242.33,11242-33,P22735,TGM1,Protein-glutamine gamma-glutamyltransferase K,GCST90421389
X11243.90,11243-90,Q5T601,ADGRF1,Adhesion G-protein coupled receptor F1,GCST90421390
X11245.43,11245-43,P21333,FLNA,Filamin-A:Calponin Homology 1,GCST90421391
X11246.3,11246-3,Q8TDL5,BPIFB1,BPI fold-containing family B member 1,GCST90421392
X11247.20,11247-20,Q8N159,NAGS,"N-acetylglutamate synthase, mitochondrial",GCST90421393
X11248.43,11248-43,P10746,UROS,Uroporphyrinogen-III synthase,GCST90421394
X11252.30,11252-30,O75427,LRCH4,Leucine-rich repeat and calponin homology domain-containing protein 4:Calponin Homology,GCST90421395
X11254.13,11254-13,O95428,PAPLN,Papilin,GCST90421396
X11257.1,11257-1,P09417,QDPR,Dihydropteridine reductase,GCST90421397
X11258.41,11258-41,Q13477,MADCAM1,Mucosal addressin cell adhesion molecule 1,GCST90421398
X11260.47,11260-47,Q8TC36,SUN5,SUN domain-containing protein 5,GCST90421399
X11262.39,11262-39,Q9H4I3,TRABD,TraB domain-containing protein,GCST90421400
X11263.57,11263-57,P31415,CASQ1,Calsequestrin-1,GCST90421401
X11264.33,11264-33,P47989,XDH,Xanthine dehydrogenase/oxidase,GCST90421402
X11265.8,11265-8,P00352,ALDH1A1,Retinal dehydrogenase 1,GCST90421403
X11266.8,11266-8,Q14242,SELPLG,P-selectin glycoprotein ligand 1:Extracellular domain,GCST90421404
