analyte,seq_id,uniprot,entrez_gene_symbol,target_full_name,accession
X12665.16,12665-16,Q12905,ILF2,Interleukin enhancer-binding factor 2,GCST90421861
X12667.2,12667-2,Q9Y2T3,GDA,Guanine deaminase,GCST90421862
X12668.7,12668-7,O75351,VPS4B,Vacuolar protein sorting-associated protein 4B,GCST90421863
X12669.30,12669-30,Q76N89,HECW1,E3 ubiquitin-protein ligase HECW1,GCST90421864
X12670.15,12670-15,O60671,RAD1,Cell cycle checkpoint protein RAD1,GCST90421865
X12671.35,12671-35,O43704,SULT1B1,Sulfotransferase family cytosolic 1B member 1,GCST90421866
X12675.14,12675-14,P14868,DARS1,"Aspartate--tRNA ligase, cytoplasmic",GCST90421867
X12676.1,12676-1,Q9BY11,PACSIN1,Protein kinase C and casein kinase substrate in neurons protein 1,GCST90421868
X12677.164,12677-164,Q13045,FLII,Protein flightless-1 homolog,GCST90421869
X12678.66,12678-66,P09012,SNRPA,U1 small nuclear ribonucleoprotein A,GCST90421870
X12681.63,12681-63,Q9UK80,USP21,Ubiquitin carboxyl-terminal hydrolase 21,GCST90421871
X12682.5,12682-5,Q6YP21,KYAT3,Kynurenine--oxoglutarate transaminase 3,GCST90421872
X12683.156,12683-156,Q9BPU6,DPYSL5,Dihydropyrimidinase-related protein 5,GCST90421873
X12684.5,12684-5,Q9Y6U3,SCIN,Adseverin,GCST90421874
X12685.57,12685-57,Q9NSB8,HOMER2,Homer protein homolog 2,GCST90421875
X12686.15,12686-15,P25325,MPST,3-mercaptopyruvate sulfurtransferase,GCST90421876
X12687.2,12687-2,Q16698,DECR1,"2,4-dienoyl-CoA reductase, mitochondrial",GCST90421877
X12688.115,12688-115,Q9UK32,RPS6KA6,Ribosomal protein S6 kinase alpha-6,GCST90421878
X12689.56,12689-56,O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B,GCST90421879
X12690.33,12690-33,Q9P0V9,SEPTIN10,Septin-10,GCST90421880
X12691.44,12691-44,P34897,SHMT2,"Serine hydroxymethyltransferase, mitochondrial",GCST90421881
X12692.56,12692-56,Q8TEK3,DOT1L,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",GCST90421882
X12694.28,12694-28,Q9UNQ2,DIMT1,Probable dimethyladenosine transferase,GCST90421883
X12695.62,12695-62,Q53G59,KLHL12,Kelch-like protein 12,GCST90421884
X12696.166,12696-166,O60678,PRMT3,Protein arginine N-methyltransferase 3,GCST90421885
X12697.30,12697-30,P48426,PIP4K2A,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,GCST90421886
X12698.72,12698-72,O00629,KPNA4,Importin subunit alpha-3,GCST90421887
X12699.28,12699-28,P50990,CCT8,T-complex protein 1 subunit theta,GCST90421888
X12700.9,12700-9,P53396,ACLY,ATP-citrate synthase,GCST90421889
X12701.1,12701-1,O60739,EIF1B,Eukaryotic translation initiation factor 1b,GCST90421890
X12702.13,12702-13,Q9HAT8,PELI2,E3 ubiquitin-protein ligase pellino homolog 2,GCST90421891
X12703.6,12703-6,Q8TDX7,NEK7,Serine/threonine-protein kinase Nek7,GCST90421892
X12704.26,12704-26,Q8N5H7,SH2D3C,SH2 domain-containing protein 3C,GCST90421893
X12705.9,12705-9,Q15751,HERC1,Probable E3 ubiquitin-protein ligase HERC1,GCST90421894
X12706.2,12706-2,Q5VT25,CDC42BPA,Serine/threonine-protein kinase MRCK alpha,GCST90421895
X12707.26,12707-26,Q14195,DPYSL3,Dihydropyrimidinase-related protein 3,GCST90421896
X12708.91,12708-91,Q969R5,L3MBTL2,Lethal(3)malignant brain tumor-like protein 2,GCST90421897
X12709.63,12709-63,Q92522,H1-10,Histone H1x,GCST90421898
X12711.19,12711-19,P48165,GJA8,Gap junction alpha-8 protein,GCST90421899
X12712.9,12712-9,Q9NP66,HMG20A,High mobility group protein 20A,GCST90421900
X12713.365,12713-365,P49795,RGS19,Regulator of G-protein signaling 19,GCST90421901
X12714.38,12714-38,O75843,AP1G2,AP-1 complex subunit gamma-like 2,GCST90421902
X12715.30,12715-30,Q8IZD4,DCP1B,mRNA-decapping enzyme 1B,GCST90421903
X12716.3,12716-3,Q9Y473,ZNF175,Zinc finger protein 175,GCST90421904
X12717.65,12717-65,O15405,TOX3,TOX high mobility group box family member 3,GCST90421905
X12718.43,12718-43,Q9Y237,PIN4,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,GCST90421906
X12720.71,12720-71,Q9NRR5,UBQLN4,Ubiquilin-4,GCST90421907
X12721.4,12721-4,Q86VP1,TAX1BP1,Tax1-binding protein 1,GCST90421908
X12724.81,12724-81,Q14011,CIRBP,Cold-inducible RNA-binding protein,GCST90421909
X12726.3,12726-3,O00287,RFXAP,Regulatory factor X-associated protein,GCST90421910
X12727.7,12727-7,Q9P2B2,PTGFRN,Prostaglandin F2 receptor negative regulator,GCST90421911
X12729.12,12729-12,Q9BT73,PSMG3,Proteasome assembly chaperone 3,GCST90421912
X12730.3,12730-3,O14777,NDC80,Kinetochore protein NDC80 homolog,GCST90421913
X12731.12,12731-12,Q6IQ23,PLEKHA7,Pleckstrin homology domain-containing family A member 7,GCST90421914
X12732.13,12732-13,Q5T2T1,MPP7,MAGUK p55 subfamily member 7,GCST90421915
X12734.112,12734-112,Q14807,KIF22,Kinesin-like protein KIF22,GCST90421916
X12735.39,12735-39,O75534,CSDE1,Cold shock domain-containing protein E1,GCST90421917
X12737.12,12737-12,Q14651,PLS1,Plastin-1,GCST90421918
X12738.43,12738-43,Q9Y2I1,NISCH,Nischarin,GCST90421919
X12740.55,12740-55,Q99581,FEV,Protein FEV,GCST90421920
X12742.160,12742-160,A6NDV4,TMEM8B,Transmembrane protein 8B,GCST90421921
X12743.18,12743-18,Q9UL15,BAG5,BAG family molecular chaperone regulator 5,GCST90421922
X12746.4,12746-4,Q9UIA0,CYTH4,Cytohesin-4,GCST90421923
X12747.89,12747-89,P98179,RBM3,RNA-binding protein 3,GCST90421924
X12748.6,12748-6,Q58F21,BRDT,Bromodomain testis-specific protein,GCST90421925
X12750.9,12750-9,P05107,ITGB2,Integrin beta-2,GCST90421926
X12751.26,12751-26,Q9UKY1,ZHX1,Zinc fingers and homeoboxes protein 1,GCST90421927
X12753.6,12753-6,Q92870,APBB2,Amyloid beta A4 precursor protein-binding family B member 2:Phosphotyrosine Interaction Domain 1,GCST90421928
X12754.14,12754-14,Q9Y534,CSDC2,Cold shock domain-containing protein C2,GCST90421929
X12756.3,12756-3,Q9BYV9,BACH2,Transcription regulator protein BACH2,GCST90421930
X12758.47,12758-47,O43424,GRID2,"Glutamate receptor ionotropic, delta-2",GCST90421931
X12759.47,12759-47,Q12906,ILF3,Interleukin enhancer-binding factor 3,GCST90421932
X12760.34,12760-34,Q6NX45,ZNF774,Zinc finger protein 774,GCST90421933
X12761.12,12761-12,Q92870,APBB2,Amyloid beta A4 precursor protein-binding family B member 2:Phosphotyrosine Interaction Domain 2,GCST90421934
X12763.69,12763-69,Q9HCZ1,ZNF334,Zinc finger protein 334,GCST90421935
X12764.3,12764-3,Q92556,ELMO1,Engulfment and cell motility protein 1,GCST90421936
X12766.33,12766-33,Q7Z601,GPR142,Probable G-protein coupled receptor 142,GCST90421937
X12768.3,12768-3,Q86XI6,PPP1R3B,Protein phosphatase 1 regulatory subunit 3B,GCST90421938
X12771.19,12771-19,Q9UJW8,ZNF180,Zinc finger protein 180,GCST90421939
X12772.8,12772-8,P52948,NUP98,Nuclear pore complex protein Nup98-Nup96,GCST90421940
X12774.12,12774-12,O60741,HCN1,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,GCST90421941
X12775.6,12775-6,O15347,HMGB3,High mobility group protein B3,GCST90421942
X12777.11,12777-11,Q15637,SF1,Splicing factor 1,GCST90421943
X12781.2,12781-2,Q15633,TARBP2,RISC-loading complex subunit TARBP2,GCST90421944
X12783.29,12783-29,P52272,HNRNPM,Heterogeneous nuclear ribonucleoprotein M,GCST90421945
X12784.10,12784-10,O95704,APBB3,"Amyloid beta A4 precursor protein-binding family B member 3:Phosphotyrosine Interaction Domain 1,Isoform II",GCST90421946
X12785.49,12785-49,Q86T24,ZBTB33,Transcriptional regulator Kaiso,GCST90421947
X12786.61,12786-61,Q9NPB8,GPCPD1,Glycerophosphocholine phosphodiesterase GPCPD1,GCST90421948
X12787.47,12787-47,P52741,ZNF134,Zinc finger protein 134,GCST90421949
X12788.6,12788-6,Q96ES7,SGF29,SAGA-associated factor 29 homolog,GCST90421950
X12790.10,12790-10,Q96ER9,CCDC51,Coiled-coil domain-containing protein 51,GCST90421951
X12793.4,12793-4,Q96J94,PIWIL1,Piwi-like protein 1,GCST90421952
X12794.6,12794-6,Q96MN2,NLRP4,"NACHT, LRR and PYD domains-containing protein 4",GCST90421953
X12795.2,12795-2,Q969W8,ZNF566,Zinc finger protein 566,GCST90421954
X12796.44,12796-44,O95989,NUDT3,Diphosphoinositol polyphosphate phosphohydrolase 1,GCST90421955
X12798.46,12798-46,Q2Y0W8,SLC4A8,Electroneutral sodium bicarbonate exchanger 1,GCST90421956
X12799.65,12799-65,Q9NZQ0,DNAJC27,DnaJ homolog subfamily C member 27,GCST90421957
X12800.5,12800-5,P59282,TPPP2,Tubulin polymerization-promoting protein family member 2,GCST90421958
X12801.33,12801-33,P14316,IRF2,Interferon regulatory factor 2,GCST90421959
X12803.9,12803-9,Q86UD4,ZNF329,Zinc finger protein 329,GCST90421960
X12804.5,12804-5,Q9UKD1,GMEB2,Glucocorticoid modulatory element-binding protein 2,GCST90421961
X12807.89,12807-89,Q7Z6I6,ARHGAP30,Rho GTPase-activating protein 30,GCST90421962
X12808.103,12808-103,Q9Y2V2,CARHSP1,Calcium-regulated heat-stable protein 1,GCST90421963
X12811.55,12811-55,Q09FC8,ZNF415,Zinc finger protein 415,GCST90421964
X12812.25,12812-25,P14621,ACYP2,Acylphosphatase-2,GCST90421965
X12813.18,12813-18,Q8NDI1,EHBP1,EH domain-binding protein 1,GCST90421966
X12814.17,12814-17,Q96LT9,RNPC3,RNA-binding protein 40,GCST90421967
X12815.9,12815-9,P41252,IARS1,"Isoleucine--tRNA ligase, cytoplasmic",GCST90421968
X12817.1,12817-1,P55040,GEM,GTP-binding protein GEM,GCST90421969
X12818.159,12818-159,Q15849,SLC14A2,Urea transporter 2,GCST90421970
X12820.1,12820-1,Q13588,GRAP,GRB2-related adapter protein,GCST90421971
X12821.6,12821-6,Q86W26,NLRP10,"NACHT, LRR and PYD domains-containing protein 10",GCST90421972
X12822.34,12822-34,O00213,APBB1,Amyloid beta A4 precursor protein-binding family B member 1:Phosphotyrosine Interaction Domain 1,GCST90421973
X12825.18,12825-18,Q9UKG1,APPL1,DCC-interacting protein 13-alpha,GCST90421974
X12826.5,12826-5,Q92911,SLC5A5,Sodium/iodide cotransporter,GCST90421975
X12827.37,12827-37,P49796,RGS3,Regulator of G-protein signaling 3,GCST90421976
X12830.4,12830-4,O00422,SAP18,Histone deacetylase complex subunit SAP18,GCST90421977
X12831.21,12831-21,Q96BS2,TESC,Calcineurin B homologous protein 3,GCST90421978
X12832.10,12832-10,Q9UBL3,ASH2L,Set1/Ash2 histone methyltransferase complex subunit ASH2,GCST90421979
X12834.3,12834-3,Q9H3M0,KCNF1,Potassium voltage-gated channel subfamily F member 1,GCST90421980
X12835.101,12835-101,Q8WXC3,PYDC1,Pyrin domain-containing protein 1,GCST90421981
X12838.28,12838-28,Q9H1R2,DUSP15,Dual specificity protein phosphatase 15,GCST90421982
X12842.43,12842-43,O60499,STX10,Syntaxin-10,GCST90421983
X12843.6,12843-6,Q86VK4,ZNF410,Zinc finger protein 410,GCST90421984
X12844.10,12844-10,O95429,BAG4,BAG family molecular chaperone regulator 4,GCST90421985
X12845.18,12845-18,Q15036,SNX17,Sorting nexin-17,GCST90421986
X12846.3,12846-3,Q9UKA1,FBXL5,F-box/LRR-repeat protein 5,GCST90421987
X12847.27,12847-27,O60942,RNGTT,mRNA-capping enzyme,GCST90421988
X12848.9,12848-9,Q92974,ARHGEF2,Rho guanine nucleotide exchange factor 2,GCST90421989
X12849.25,12849-25,Q9P0R6,GSKIP,GSK3-beta interaction protein,GCST90421990
X12851.5,12851-5,Q9NP87,POLM,DNA-directed DNA/RNA polymerase mu,GCST90421991
X12853.112,12853-112,Q9NZR1,TMOD2,Tropomodulin-2,GCST90421992
X12854.3,12854-3,Q99594,TEAD3,Transcriptional enhancer factor TEF-5,GCST90421993
X12855.16,12855-16,Q9NQ75,CASS4,Cas scaffolding protein family member 4,GCST90421994
X12856.14,12856-14,Q96Q45,TMEM237,Transmembrane protein 237,GCST90421995
X12859.33,12859-33,O75521,ECI2,"Enoyl-CoA delta isomerase 2, mitochondrial",GCST90421996
X12860.7,12860-7,Q9UBL0,ARPP21,cAMP-regulated phosphoprotein 21,GCST90421997
X12861.13,12861-13,Q9NYL9,TMOD3,Tropomodulin-3,GCST90421998
X12862.14,12862-14,Q14511,NEDD9,Enhancer of filamentation 1,GCST90421999
X12864.9,12864-9,Q0D2K0,NIPAL4,Magnesium transporter NIPA4,GCST90422000
X12867.40,12867-40,P51808,DYNLT3,Dynein light chain Tctex-type 3,GCST90422001
X12869.68,12869-68,P26196,DDX6,Probable ATP-dependent RNA helicase DDX6,GCST90422002
X12871.10,12871-10,Q12792,TWF1,Twinfilin-1,GCST90422003
X12872.35,12872-35,Q16280,CNGA2,Cyclic nucleotide-gated olfactory channel,GCST90422004
X12873.11,12873-11,P16150,SPN,Leukosialin,GCST90422005
X12875.28,12875-28,Q8WUN7,UBTD2,Ubiquitin domain-containing protein 2,GCST90422006
X12876.39,12876-39,Q9Y4P9,SPEF1,Sperm flagellar protein 1,GCST90422007
X12878.60,12878-60,Q9BXB4,OSBPL11,Oxysterol-binding protein-related protein 11,GCST90422008
X12879.5,12879-5,P28749,RBL1,Retinoblastoma-like protein 1,GCST90422009
X12880.1,12880-1,Q7L0J3,SV2A,Synaptic vesicle glycoprotein 2A,GCST90422010
X12881.17,12881-17,O75452,RDH16,Retinol dehydrogenase 16,GCST90422011
X12882.7,12882-7,Q9NR21,PARP11,Poly [ADP-ribose] polymerase 11,GCST90422012
X12885.42,12885-42,Q14995,NR1D2,Nuclear receptor subfamily 1 group D member 2,GCST90422013
X12888.18,12888-18,O75446,SAP30,Histone deacetylase complex subunit SAP30,GCST90422014
X12891.1,12891-1,Q8IY33,MICALL2,MICAL-like protein 2,GCST90422015
X12892.10,12892-10,Q8IYJ3,SYTL1,Synaptotagmin-like protein 1,GCST90422016
X12893.159,12893-159,Q16666,IFI16,"Gamma-interferon-inducible protein 16:Isoform 2, Hematopoietic expression, interferon-inducible nature, and nuclear localization 2",GCST90422017
X12894.3,12894-3,Q6ZW49,PAXIP1,PAX-interacting protein 1,GCST90422018
X12895.28,12895-28,Q9Y6T7,DGKB,Diacylglycerol kinase beta,GCST90422019
X12904.180,12904-180,O60494,CUBN,cubilin,GCST90422020
X12916.3,12916-3,P56278,MTCP1,Protein p13 MTCP-1,GCST90422021
X12923.51,12923-51,Q04695,KRT17,"Keratin, type I cytoskeletal 17",GCST90422022
X12925.105,12925-105,Q9Y2T1,AXIN2,Axin-2,GCST90422023
X12931.16,12931-16,P08235,NR3C2,Mineralocorticoid receptor,GCST90422024
X12934.1,12934-1,Q9UII4,HERC5,E3 ISG15--protein ligase HERC5,GCST90422025
X12936.38,12936-38,P12271,RLBP1,Retinaldehyde-binding protein 1,GCST90422026
X12939.1,12939-1,O15160,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,GCST90422027
X12940.35,12940-35,P43353,ALDH3B1,Aldehyde dehydrogenase family 3 member B1,GCST90422028
X12945.33,12945-33,Q9NP72,RAB18,Ras-related protein Rab-18,GCST90422029
X12954.71,12954-71,Q07869,PPARA,Peroxisome proliferator-activated receptor alpha,GCST90422030
X12956.40,12956-40,Q96EK5,KIFBP,KIF1-binding protein,GCST90422031
X12957.62,12957-62,P14927,UQCRB,Cytochrome b-c1 complex subunit 7,GCST90422032
X12960.9,12960-9,P35557,GCK,Glucokinase,GCST90422033
X12963.1,12963-1,Q5VW38,GPR107,Protein GPR107,GCST90422034
X12968.2,12968-2,Q16527,CSRP2,Cysteine and glycine-rich protein 2,GCST90422035
X12970.35,12970-35,Q9NUL3,STAU2,Double-stranded RNA-binding protein Staufen homolog 2,GCST90422036
X12975.11,12975-11,P35900,KRT20,"Keratin, type I cytoskeletal 20",GCST90422037
X12976.49,12976-49,O60504,SORBS3,Vinexin b,GCST90422038
X12980.31,12980-31,Q9NW64,RBM22,Pre-mRNA-splicing factor RBM22,GCST90422039
X12986.12,12986-12,Q9NUP9,LIN7C,Protein lin-7 homolog C,GCST90422040
X12987.12,12987-12,Q16629,SRSF7,Serine/arginine-rich splicing factor 7,GCST90422041
X12988.49,12988-49,Q01844,EWSR1,RNA-binding protein EWS,GCST90422042
X12990.39,12990-39,Q99759,MAP3K3,Mitogen-activated protein kinase kinase kinase 3,GCST90422043
X12991.49,12991-49,Q8IWT3,CUL9,Cullin-9,GCST90422044
X12993.21,12993-21,Q8TAT6,NPLOC4,Nuclear protein localization protein 4 homolog,GCST90422045
X13007.66,13007-66,Q6JVE6,LCN10,Epididymal-specific lipocalin-10,GCST90422046
X13013.41,13013-41,O60260,PRKN,E3 ubiquitin-protein ligase parkin,GCST90422047
X13022.20,13022-20,O14683,TP53I11,Tumor protein p53-inducible protein 11,GCST90422048
X13025.4,13025-4,Q8WU20,FRS2,Fibroblast growth factor receptor substrate 2,GCST90422049
X13027.20,13027-20,O95931,CBX7,Chromobox protein homolog 7,GCST90422050
X13032.1,13032-1,Q14457,BECN1,Beclin-1,GCST90422051
X13039.1,13039-1,Q12972,PPP1R8,Nuclear inhibitor of protein phosphatase 1,GCST90422052
X13041.47,13041-47,Q9BUZ4,TRAF4,TNF receptor-associated factor 4,GCST90422053
X13042.7,13042-7,Q16322,KCNA10,Potassium voltage-gated channel subfamily A member 10,GCST90422054
X13043.157,13043-157,Q6PL18,ATAD2,ATPase family AAA domain-containing protein 2,GCST90422055
X13044.5,13044-5,Q99816,TSG101,Tumor susceptibility gene 101 protein,GCST90422056
X13053.6,13053-6,Q9UN76,SLC6A14,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+),GCST90422057
X13054.87,13054-87,P35080,PFN2,Profilin-2,GCST90422058
X13055.53,13055-53,A5PKW4,PSD,PH and SEC7 domain-containing protein 1,GCST90422059
X13056.18,13056-18,Q9GZN6,SLC6A16,Orphan sodium- and chloride-dependent neurotransmitter transporter NTT5,GCST90422060
X13059.33,13059-33,Q969G6,RFK,Riboflavin kinase,GCST90422061
X13062.4,13062-4,O60234,GMFG,Glia maturation factor gamma,GCST90422062
X13066.42,13066-42,Q6P2E9,EDC4,Enhancer of mRNA-decapping protein 4,GCST90422063
X13067.5,13067-5,Q13976,PRKG1,"cGMP-dependent protein kinase 1, beta isozyme",GCST90422064
X13073.14,13073-14,P39687,ANP32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A,GCST90422065
X13076.4,13076-4,P51114,FXR1,Fragile X mental retardation syndrome-related protein 1,GCST90422066
X13078.3,13078-3,P41208,CETN2,Centrin-2,GCST90422067
X13082.9,13082-9,Q9H3U1,UNC45A,Protein unc-45 homolog A,GCST90422068
X13083.18,13083-18,P26640,VARS1,Valine--tRNA ligase,GCST90422069
X13085.18,13085-18,P43220,GLP1R,Glucagon-like peptide 1 receptor:Cytoplasmic domain,GCST90422070
X13088.397,13088-397,P35070,BTC,Betacellulin,GCST90422071
X13089.6,13089-6,Q16665,HIF1A,Hypoxia-inducible factor 1-alpha,GCST90422072
X13090.17,13090-17,P06703,S100A6,Protein S100-A6,GCST90422073
X13093.6,13093-6,Q8WVN6,SECTM1,Secreted and transmembrane protein 1,GCST90422074
X13094.75,13094-75,Q9BXY4,RSPO3,R-spondin-3,GCST90422075
X13095.51,13095-51,P05451,REG1A,Lithostathine-1-alpha,GCST90422076
X13097.11,13097-11,Q92843,BCL2L2,Bcl-2-like protein 2,GCST90422077
X13098.93,13098-93,O43915,VEGFD,Vascular endothelial growth factor D,GCST90422078
X13101.60,13101-60,Q9BQB4,SOST,Sclerostin,GCST90422079
X13102.1,13102-1,Q96BQ1,FAM3D,Protein FAM3D,GCST90422080
X13103.125,13103-125,P0DML2|P0DML3,CSH1|CSH2,Chorionic somatomammotropin hormone,GCST90422081
X13104.32,13104-32,P98172,EFNB1,Ephrin-B1,GCST90422082
X13105.7,13105-7,P60880,SNAP25,Synaptosomal-associated protein 25,GCST90422083
X13107.9,13107-9,O95274,LYPD3,Ly6/PLAUR domain-containing protein 3,GCST90422084
X13109.82,13109-82,Q7Z3B1,NEGR1,Neuronal growth regulator 1,GCST90422085
X13112.179,13112-179,Q12841,FSTL1,Follistatin-related protein 1,GCST90422086
X13113.7,13113-7,P10451,SPP1,Osteopontin,GCST90422087
X13114.50,13114-50,P51884,LUM,Lumican,GCST90422088
X13116.25,13116-25,Q8N6Q3,CD177,CD177 antigen,GCST90422089
X13117.232,13117-232,Q9Y259,CHKB,Choline/ethanolamine kinase,GCST90422090
X13118.5,13118-5,Q9H4F8,SMOC1,SPARC-related modular calcium-binding protein 1,GCST90422091
X13119.26,13119-26,Q9UK55,SERPINA10,Protein Z-dependent protease inhibitor,GCST90422092
X13122.19,13122-19,O43155,FLRT2,Leucine-rich repeat transmembrane protein FLRT2,GCST90422093
X13123.3,13123-3,Q9NZU0,FLRT3,Leucine-rich repeat transmembrane protein FLRT3:Extracellular domain,GCST90422094
X13124.20,13124-20,Q6UXK2,ISLR2,Immunoglobulin superfamily containing leucine-rich repeat protein 2,GCST90422095
X13125.45,13125-45,P04004,VTN,Vitronectin,GCST90422096
X13126.52,13126-52,Q02487,DSC2,Desmocollin-2,GCST90422097
X13129.40,13129-40,P01130,LDLR,Low-density lipoprotein receptor,GCST90422098
X13130.150,13130-150,P52789,HK2,Hexokinase-2,GCST90422099
X13131.5,13131-5,P19367,HK1,Hexokinase-1,GCST90422100
X13132.14,13132-14,Q13591,SEMA5A,Semaphorin-5A,GCST90422101
X13133.73,13133-73,Q8N2S1,LTBP4,Latent-transforming growth factor beta-binding protein 4,GCST90422102
X13228.75,13228-75,Q00987,MDM2,E3 ubiquitin-protein ligase Mdm2,GCST90422103
X13229.20,13229-20,O15151,MDM4,Protein Mdm4,GCST90422104
X13230.174,13230-174,P01859,IGHG2,"Ig gamma-2, Kappa",GCST90422105
X13231.90,13231-90,P01861,IGHG4,"Ig gamma-4, Kappa",GCST90422106
X13236.25,13236-25,P56704,WNT3A,Protein Wnt-3a,GCST90422107
X13240.170,13240-170,Q9Y566,SHANK1,SH3 and multiple ankyrin repeat domains protein 1,GCST90422108
X13242.134,13242-134,Q9BYB0,SHANK3,SH3 and multiple ankyrin repeat domains protein 3,GCST90422109
X13256.21,13256-21,Q9Y566,SHANK1,SH3 and multiple ankyrin repeat domains protein 1,GCST90422110
X13268.45,13268-45,P41221,WNT5A,Protein Wnt-5a,GCST90422111
X13374.4,13374-4,Q30KQ7,DEFB113,Beta-defensin 113,GCST90422112
X13375.48,13375-48,O43761,SYNGR3,Synaptogyrin-3,GCST90422113
X13377.3,13377-3,Q8N8Q1,CYB561D1,Cytochrome b561 domain-containing protein 1,GCST90422114
X13378.80,13378-80,A6NC05,C5orf63,Glutaredoxin-like protein C5orf63,GCST90422115
X13381.49,13381-49,P15291,B4GALT1,"Beta-1,4-galactosyltransferase 1",GCST90422116
X13384.110,13384-110,P07954,FH,"Fumarate hydratase, mitochondrial",GCST90422117
X13386.248,13386-248,Q969K3,RNF34,E3 ubiquitin-protein ligase RNF34,GCST90422118
X13387.55,13387-55,Q9NZC4,EHF,ETS homologous factor,GCST90422119
X13388.57,13388-57,P29120,PCSK1,Neuroendocrine convertase 1,GCST90422120
X13392.13,13392-13,P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,GCST90422121
X13393.46,13393-46,Q9BUN8,DERL1,Derlin-1,GCST90422122
X13399.33,13399-33,Q8IUW5,RELL1,RELT-like protein 1,GCST90422123
X13403.5,13403-5,P41161,ETV5,ETS translocation variant 5,GCST90422124
X13405.61,13405-61,P20155,SPINK2,Serine protease inhibitor Kazal-type 2,GCST90422125
X13406.161,13406-161,Q08708,CD300C,CMRF35-like molecule 6,GCST90422126
X13408.23,13408-23,Q8TEU8,WFIKKN2,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",GCST90422127
X13411.21,13411-21,Q9H4P4,RNF41,E3 ubiquitin-protein ligase NRDP1,GCST90422128
X13412.5,13412-5,Q9BQY6,WFDC6,WAP four-disulfide core domain protein 6,GCST90422129
X13416.8,13416-8,Q14C87,TMEM132D,Transmembrane protein 132D,GCST90422130
X13421.17,13421-17,Q9NRX6,TMEM167B,Protein kish-B,GCST90422131
X13422.66,13422-66,Q16206,ENOX2,Ecto-NOX disulfide-thiol exchanger 2,GCST90422132
X13423.94,13423-94,Q9BRX8,PRXL2A,Redox-regulatory protein FAM213A,GCST90422133
X13427.66,13427-66,Q9NR34,MAN1C1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC",GCST90422134
X13429.3,13429-3,Q9H1F0,WFDC10A,WAP four-disulfide core domain protein 10A,GCST90422135
X13430.50,13430-50,Q13336,SLC14A1,Urea transporter 1,GCST90422136
X13431.74,13431-74,Q6UWV7,SHISAL2A,Membrane protein FAM159A,GCST90422137
X13432.9,13432-9,Q5T4F4,ZFYVE27,"Protrudin:Cytoplasmic domain, region 1, isoform 6",GCST90422138
X13434.172,13434-172,Q9NVD7,PARVA,Alpha-parvin,GCST90422139
X13435.31,13435-31,Q6UXL0,IL20RB,Interleukin-20 receptor subunit beta,GCST90422140
X13436.54,13436-54,P56270,MAZ,Myc-associated zinc finger protein,GCST90422141
X13438.115,13438-115,Q9H2X0,CHRD,Chordin,GCST90422142
X13439.6,13439-6,P0C7M6,IQCF3,IQ domain-containing protein F3,GCST90422143
X13441.30,13441-30,Q155Q3,DIXDC1,Dixin,GCST90422144
X13447.42,13447-42,Q5BIV9,SPRN,Shadow of prion protein,GCST90422145
X13449.25,13449-25,Q15427,SF3B4,Splicing factor 3B subunit 4,GCST90422146
X13450.49,13450-49,P40818,USP8,Ubiquitin carboxyl-terminal hydrolase 8,GCST90422147
X13451.2,13451-2,Q9H6D8,FNDC4,Fibronectin type III domain-containing protein 4,GCST90422148
X13452.113,13452-113,P0DJ93,SMIM13,Small integral membrane protein 13,GCST90422149
X13453.2,13453-2,O75394,MRPL33,"39S ribosomal protein L33, mitochondrial",GCST90422150
X13457.33,13457-33,Q9UKW6,ELF5,ETS-related transcription factor Elf-5,GCST90422151
X13459.30,13459-30,Q9NXH8,TOR4A,Torsin-4A,GCST90422152
X13460.4,13460-4,O15335,CHAD,Chondroadherin,GCST90422153
X13463.1,13463-1,Q92626,PXDN,Peroxidasin homolog,GCST90422154
X13464.8,13464-8,Q8N912,NRAC,Nutritionally-regulated adipose and cardiac enriched protein homolog,GCST90422155
X13465.5,13465-5,P53805,RCAN1,Calcipressin-1,GCST90422156
X13468.5,13468-5,Q96JN8,NEURL4,Neuralized-like protein 4,GCST90422157
X13470.43,13470-43,Q03431,PTH1R,Parathyroid hormone/parathyroid hormone-related peptide receptor,GCST90422158
X13472.35,13472-35,Q9H0R4,HDHD2,Haloacid dehalogenase-like hydrolase domain-containing protein 2,GCST90422159
X13473.55,13473-55,P23677,ITPKA,Inositol-trisphosphate 3-kinase A,GCST90422160
X13474.40,13474-40,Q9Y2Q3,GSTK1,Glutathione S-transferase kappa 1,GCST90422161
X13475.10,13475-10,Q9Y2X8,UBE2D4,Ubiquitin-conjugating enzyme E2 D4,GCST90422162
