gene,uniprot,oid,version,panel,synapse_id,filename
NUDT15,Q9NV35,OID30102,v1,Cardiometabolic_II,syn52333511,NUDT15_Q9NV35_OID30102_v1_Cardiometabolic_II.tar
NUDT16,Q96DE0,OID31484,v1,Oncology_II,syn52334375,NUDT16_Q96DE0_OID31484_v1_Oncology_II.tar
NUDT2,P50583,OID21308,v1,Oncology,syn51483784,NUDT2_P50583_OID21308_v1_Oncology.tar
NUDT5,Q9UKK9,OID21115,v1,Neurology,syn51476027,NUDT5_Q9UKK9_OID21115_v1_Neurology.tar
NUMB,P49757,OID30568,v1,Inflammation_II,syn52331452,NUMB_P49757_OID30568_v1_Inflammation_II.tar
NUP50,Q9UKX7,OID30100,v1,Cardiometabolic_II,syn52332667,NUP50_Q9UKX7_OID30100_v1_Cardiometabolic_II.tar
NXPE4,Q6UWF7,OID30076,v1,Cardiometabolic_II,syn52358319,NXPE4_Q6UWF7_OID30076_v1_Cardiometabolic_II.tar
NXPH1,P58417,OID20849,v1,Neurology,syn51483109,NXPH1_P58417_OID20849_v1_Neurology.tar
NXPH3,O95157,OID30565,v1,Inflammation_II,syn52333751,NXPH3_O95157_OID30565_v1_Inflammation_II.tar
OBP2B,Q9NPH6,OID20980,v1,Neurology,syn51489642,OBP2B_Q9NPH6_OID20980_v1_Neurology.tar
OCLN,Q16625,OID31069,v1,Neurology_II,syn52333783,OCLN_Q16625_OID31069_v1_Neurology_II.tar
ODAM,A1E959,OID20793,v1,Neurology,syn51476232,ODAM_A1E959_OID20793_v1_Neurology.tar
OFD1,O75665,OID31268,v1,Oncology_II,syn52333828,OFD1_O75665_OID31268_v1_Oncology_II.tar
OGA,O60502,OID31465,v1,Oncology_II,syn52356229,OGA_O60502_OID31465_v1_Oncology_II.tar
OGFR,Q9NZT2,OID21360,v1,Oncology,syn51482316,OGFR_Q9NZT2_OID21360_v1_Oncology.tar
OGN,P20774,OID21123,v1,Neurology,syn51476617,OGN_P20774_OID21123_v1_Neurology.tar
OGT,O15294,OID31300,v1,Oncology_II,syn52331797,OGT_O15294_OID31300_v1_Oncology_II.tar
OLFM4,Q6UX06,OID30665,v1,Inflammation_II,syn52333662,OLFM4_Q6UX06_OID30665_v1_Inflammation_II.tar
OLR1,P78380,OID20183,v1,Cardiometabolic,syn51483748,OLR1_P78380_OID20183_v1_Cardiometabolic.tar
OMD,Q99983,OID20725,v1,Inflammation,syn51476274,OMD_Q99983_OID20725_v1_Inflammation.tar
OMG,P23515,OID21352,v1,Oncology,syn51476708,OMG_P23515_OID21352_v1_Oncology.tar
OMP,P47874,OID30835,v1,Neurology_II,syn52356566,OMP_P47874_OID30835_v1_Neurology_II.tar
OPHN1,O60890,OID31087,v1,Neurology_II,syn52331771,OPHN1_O60890_OID31087_v1_Neurology_II.tar
OPLAH,O14841,OID30201,v1,Cardiometabolic_II,syn52331930,OPLAH_O14841_OID30201_v1_Cardiometabolic_II.tar
OPTC,Q9UBM4,OID21362,v1,Oncology,syn51496179,OPTC_Q9UBM4_OID21362_v1_Oncology.tar
ORM1,P02763,OID30768,v1,Inflammation_II,syn52358238,ORM1_P02763_OID30768_v1_Inflammation_II.tar
OSBPL2,Q9H1P3,OID31085,v1,Neurology_II,syn52358382,OSBPL2_Q9H1P3_OID31085_v1_Neurology_II.tar
OSCAR,Q8IYS5,OID20776,v1,Inflammation,syn51476116,OSCAR_Q8IYS5_OID20776_v1_Inflammation.tar
OSM,P13725,OID20574,v1,Inflammation,syn51489850,OSM_P13725_OID20574_v1_Inflammation.tar
OSMR,Q99650,OID20356,v1,Cardiometabolic,syn51475827,OSMR_Q99650_OID20356_v1_Cardiometabolic.tar
OSTN,P61366,OID30909,v1,Neurology_II,syn52355726,OSTN_P61366_OID30909_v1_Neurology_II.tar
OTOA,Q7RTW8,OID30825,v1,Neurology_II,syn52357037,OTOA_Q7RTW8_OID30825_v1_Neurology_II.tar
OTUD6B,Q8N6M0,OID31487,v1,Oncology_II,syn52355500,OTUD6B_Q8N6M0_OID31487_v1_Oncology_II.tar
OTUD7B,Q6GQQ9,OID31064,v1,Neurology_II,syn52331541,OTUD7B_Q6GQQ9_OID31064_v1_Neurology_II.tar
OXCT1,P55809,OID30227,v1,Cardiometabolic_II,syn52356212,OXCT1_P55809_OID30227_v1_Cardiometabolic_II.tar
OXT,P01178,OID21047,v1,Neurology,syn51496060,OXT_P01178_OID21047_v1_Neurology.tar
P4HB,P07237,OID21509,v1,Oncology,syn51476676,P4HB_P07237_OID21509_v1_Oncology.tar
PACS2,Q86VP3,OID30186,v1,Cardiometabolic_II,syn52355615,PACS2_Q86VP3_OID30186_v1_Cardiometabolic_II.tar
PADI2,Q9Y2J8,OID20467,v1,Inflammation,syn51476400,PADI2_Q9Y2J8_OID20467_v1_Inflammation.tar
PADI4,Q9UM07,OID20832,v1,Neurology,syn51482371,PADI4_Q9UM07_OID20832_v1_Neurology.tar
