gene,uniprot,oid,version,panel,synapse_id,filename
GLI2,P10070,OID30429,v1,Inflammation_II,syn52362038,GLI2_P10070_OID30429_v1_Inflammation_II.tar
GLO1,Q04760,OID20107,v1,Cardiometabolic,syn51468691,GLO1_Q04760_OID20107_v1_Cardiometabolic.tar
GLOD4,Q9HC38,OID20710,v1,Inflammation,syn51468777,GLOD4_Q9HC38_OID20710_v1_Inflammation.tar
GLP1R,P43220,OID30809,v1,Neurology_II,syn52362042,GLP1R_P43220_OID30809_v1_Neurology_II.tar
GLRX,P35754,OID20195,v1,Cardiometabolic,syn51470165,GLRX_P35754_OID20195_v1_Cardiometabolic.tar
GLRX5,Q86SX6,OID30663,v1,Inflammation_II,syn52362470,GLRX5_Q86SX6_OID30663_v1_Inflammation_II.tar
GLT8D2,Q9H1C3,OID20825,v1,Neurology,syn51469418,GLT8D2_Q9H1C3_OID20825_v1_Neurology.tar
GLYR1,Q49A26,OID31364,v1,Oncology_II,syn52362358,GLYR1_Q49A26_OID31364_v1_Oncology_II.tar
GM2A,P17900,OID30413,v1,Cardiometabolic_II,syn52361855,GM2A_P17900_OID30413_v1_Cardiometabolic_II.tar
GMFG,O60234,OID30340,v1,Cardiometabolic_II,syn52363515,GMFG_O60234_OID30340_v1_Cardiometabolic_II.tar
GMPR,P36959,OID20641,v1,Inflammation,syn51468605,GMPR_P36959_OID20641_v1_Inflammation.tar
GMPR2,Q9P2T1,OID30623,v1,Inflammation_II,syn52362595,GMPR2_Q9P2T1_OID30623_v1_Inflammation_II.tar
GNAS,O95467,OID31008,v1,Neurology_II,syn52362151,GNAS_O95467_OID31008_v1_Neurology_II.tar
GNE,Q9Y223,OID21231,v1,Oncology,syn51471384,GNE_Q9Y223_OID21231_v1_Oncology.tar
GNGT1,P63211,OID30920,v1,Neurology_II,syn52362739,GNGT1_P63211_OID30920_v1_Neurology_II.tar
GNLY,P22749,OID21132,v1,Neurology,syn51469864,GNLY_P22749_OID21132_v1_Neurology.tar
